,entidad,viv_sel,num_hog,hog_mud,n_ren_el,cd,sexo,edad,nivel,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p7,p7_3,p8_1,p8_2,p9,p10,p11,p13,p13_3,p14_1,p14_2,p15,p16,p17,p19,p19_3,p20_1,p20_2,p21,p22,p23_1,p23_2,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
0,1,4,1,0,1,14,1,51,6,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,4,20,2,0,2,3,2,0,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,3,3,1,0,0,0,2
1,1,2,1,0,2,14,2,73,2,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,4,4,2,0,0,0,2
2,1,1,1,0,1,14,1,52,3,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,4,15,2,0,2,3,2,0,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,3,3,1,0,0,0,2
3,1,3,1,0,2,14,2,35,3,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,20,2,0,3,3,2,0,2,2,2,1,1,2,2,0,2,0,1,1,1,1,1,3,3,1,0,0,0,2
4,1,1,1,0,6,14,2,28,4,7,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,2,20,2,0,2,3,2,0,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,3,3,1,0,0,0,2
5,1,2,1,0,2,14,2,41,2,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,2,4,2,0,0,0,2
6,1,3,1,0,1,14,1,44,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,4,4,2,0,0,0,2
7,1,4,1,0,1,14,1,69,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,4,4,2,0,0,0,2
8,1,4,1,0,1,14,1,45,4,1,1,1,1,1,1,2,1,3,4,2,2,2,1,2,2,3,600.0,2,1,1,10,4,3,150,2,1,4,1,4,2,0.0,2,1,1,0,0,0,1,4,20,2,0,3,4,2,0,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1
9,1,1,1,0,2,14,2,23,4,7,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,4,60,2,0,2,3,2,0,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,0,0,0,2
